"","name.x","created","city","state","members","who","id.x","gid","category","id.y","name.y","yes_rsvp_count","lat","lon"
"1","The Greater Boston Area Weblogger Meetup Group",1034097731000,"Cambridge","MA",100,"Bloggers",21458,21458,"tech",NA,NA,NA,NA,NA
"2","The Boston Bookcrossing Meetup Group",1034097745000,"Cambridge","MA",510,"BookCrossers",23495,23495,"book clubs",NA,NA,NA,NA,NA
"3","The Boston Atheists Meetup Group",1035261083000,"Boston","MA",1509,"Freethinkers",12763,12763,"religion/beliefs",NA,NA,NA,NA,NA
"4","The Boston Java Meetup Group",1037127220000,"Cambridge","MA",2642,"Java Developers",87071,87071,"tech",NA,NA,NA,NA,NA
"5","The Boston French Language Meetup Group",1037728347000,"Cambridge","MA",2840,"French Speakers",63770,63770,"language/ethnic identity","245328008","Rendez-vous du dimanche!",4,42.36236,-71.099692
"6","Boston Writers' Workshop",1038445733000,"Boston","MA",794,"Writers",122206,122206,"writing",NA,NA,NA,NA,NA
"7","The Boston Pug Meetup Group",1039143409000,"Boston","MA",1008,"Pug Devotee Extraordinaires",126274,126274,"pets/animals",NA,NA,NA,NA,NA
"8","Boston Vegan Meetup Group",1039719611000,"Boston","MA",663,"Boston Area Vegans",160867,160867,"health/wellbeing",NA,NA,NA,NA,NA
"9","Boston Vegetarian Meetup",1040267801000,"Cambridge","MA",464,"Vegetarians",161153,161153,"food/drink",NA,NA,NA,NA,NA
"10","Boston Design Talks",1040699604000,"Boston","MA",983,"Designers",71144,71144,"career/business",NA,NA,NA,NA,NA
"11","Boston PHP",1041130024000,"Boston","MA",3754,"Members",120818,120818,"tech",NA,NA,NA,NA,NA
"12","Boston Republican Meetup Group",1041604037000,"Boston","MA",628,"Boston Republicans",131129,131129,"movements/politics",NA,NA,NA,NA,NA
"13","The Boston Spanish Language Meetup Group",1042056761000,"Cambridge","MA",5122,"Spanish Speakers",145862,145862,"language/ethnic identity",NA,NA,NA,NA,NA
"14","Boston Japanese & English Language Club",1042101769000,"Cambridge","MA",2389,"Japanese/English Speakers",86694,86694,"language/ethnic identity","243303435","JLPT (Japanese Language Proficiency Test) 日本語能力試験! - posted for info",4,42.360497,-71.086174
"15","Boston Japanese & English Language Club",1042101769000,"Cambridge","MA",2389,"Japanese/English Speakers",86694,86694,"language/ethnic identity","fddkhnywqbhb","Tuesday Night Conversation Group @ Super 88",3,42.352218,-71.124109
"16","Boston Web Design (and Dev) Meetup Group",1042827112000,"Boston","MA",1669,"Web Professionals",163691,163691,"tech",NA,NA,NA,NA,NA
"17","Boston Integral Commons (Ken Wilber group)",1043464256000,"Newton Center","MA",289,"members",91062,91062,"new age/spirituality",NA,NA,NA,NA,NA
"18","Democracy for America: Massachusetts",1043936393000,"Boston","MA",891,"Activists",171526,171526,"movements/politics",NA,NA,NA,NA,NA
"19","Boston Photo Center",1044805481000,"Boston","MA",2,"BPC Members",120095,120095,"photography",NA,NA,NA,NA,NA
"20","The Boston English as a Second Language (ESL) Meetup Group",1044916688000,"Boston","MA",3255,"English Learners",55264,55264,"language/ethnic identity",NA,NA,NA,NA,NA
"21","German Expatriates in Boston  Meetup",1046997673000,"Boston","MA",714,"German expatriates",57664,57664,"language/ethnic identity",NA,NA,NA,NA,NA
"22","The Boston Science Fiction & Fantasy Writers Meetup Group",1048446038000,"Newton Center","MA",636,"SF Writers",137807,137807,"writing",NA,NA,NA,NA,NA
"23","The Boston Jazz Meetup Group",1048870241000,"Boston","MA",970,"Jazz Fans",87187,87187,"music",NA,NA,NA,NA,NA
"24","MA Korean Language & Culture Group",1050960924000,"Boston","MA",719,"members",92243,92243,"language/ethnic identity",NA,NA,NA,NA,NA
"25","The Boston Democratic Party Meetup Group",1051303643000,"Boston","MA",244,"Democrats",171097,171097,"movements/politics",NA,NA,NA,NA,NA
"26","The Boston Mandarin Chinese Language Meetup Group",1052156228000,"Boston","MA",1921,"Boston Mandarin Meetup Members",33097,33097,"language/ethnic identity",NA,NA,NA,NA,NA
"27","Boston Thoughtful World-Transforming Abolitionist Vegans",1063859039000,"Boston","MA",77,"Keen World-Transforming Vegans",161350,161350,"food/drink",NA,NA,NA,NA,NA
