"","name.x","created","city","state","members","who","id.x","gid","category","id.y","name.y","yes_rsvp_count","lat","lon"
"1","The Charlotte Ghost Trackers Meetup Group",1038056400000,"Charlotte","NC",830,"Investigators",68106,68106,"paranormal",NA,NA,NA,NA,NA
"2","Charlotte Solopreneurs",1050784821000,"Charlotte","NC",2584,"Solopreneurs",54560,54560,"career/business",NA,NA,NA,NA,NA
"3","The Charlotte Asperger's Syndrome Meetup Group",1052569875000,"Charlotte","NC",454,"Aspies and kin",12247,12247,"support",NA,NA,NA,NA,NA
"4","The Charlotte Paranormal Believers Meetup Group",1060084530000,"Charlotte","NC",522,"Paranormal Believers",116995,116995,"paranormal",NA,NA,NA,NA,NA
"5","The Charlotte Standard Poodle Meetup Group",1095886763000,"Charlotte","NC",282,"Standard & MixedStandard owners",175950,175950,"pets/animals",NA,NA,NA,NA,NA
"6","Charlotte Black Professionals",1137015305000,"Charlotte","NC",76,"Charlotte Black Professionals",219421,219421,"career/business",NA,NA,NA,NA,NA
"7","The Charlotte Book Club Meetup Group",1152653102000,"Charlotte","NC",39,"Book Readers",281720,281720,"book clubs",NA,NA,NA,NA,NA
"8","Travel and Culture Enthusiasts",1155956746000,"Charlotte","NC",2274,"Travel Enthusiasts",307833,307833,"outdoors/adventure",NA,NA,NA,NA,NA
"9","Charlotte Family Depot",1163436441000,"Charlotte","NC",550,"Charlotte Family Vendors",364714,364714,"career/business",NA,NA,NA,NA,NA
"10","The Charlotte Bellydance Meetup Group",1167502723000,"Charlotte","NC",812,"Bellydancers",392043,392043,"dancing",NA,NA,NA,NA,NA
"11","The Charlotte Salsa Maniacs Meetup Group",1168981185000,"Charlotte","NC",1068,"Charlotte SalsaManiacs Dancers",405764,405764,"dancing","cclmkmywqblb","A Piece of Havana Here We Come - A hard Habit to Break",4,35.11688,-80.962755
"12","The Charlotte Write to Publish Group",1169246706000,"Charlotte","NC",1018,"Writers",408529,408529,"writing","245069142","2017 Holiday Party",13,35.298069,-80.762268
"13","The Charlotte Reiki Meetup Group",1169498138000,"Charlotte","NC",549,"People interested in Reiki",410834,410834,"new age/spirituality",NA,NA,NA,NA,NA
"14","Greater Charlotte Law of Attraction Meetup Group",1169663930000,"Charlotte","NC",992,"LOA Conscious Creators",412547,412547,"new age/spirituality",NA,NA,NA,NA,NA
"15","Charlotte Photography Group",1170085820000,"Charlotte","NC",174,"Photographers",416220,416220,"photography","245335962","Shooting outdoors with Flash",12,NA,NA
"16","Charlotte Photography Group",1170085820000,"Charlotte","NC",174,"Photographers",416220,416220,"photography","245234577","December Monthly Meeting: Holiday Social",22,NA,NA
"17","Charlotte Photography Group",1170085820000,"Charlotte","NC",174,"Photographers",416220,416220,"photography","245339507","And yet another skyline shoot...  Read description before RSVPing",7,NA,NA
"18","Agile Carolinas",1171049438000,"Charlotte","NC",886,"Agile Software Supporters",425481,425481,"tech",NA,NA,NA,NA,NA
