"","name.x","created","city","state","members","who","id.x","gid","category","id.y","name.y","yes_rsvp_count","lat","lon"
"1","The Hartford Spanish Language Meetup Group",1046257069000,"Hartford","CT",1043,"Spanish Speakers",145906,145906,"language/ethnic identity","245392141","¡Festejemos las fiestas con conversación y comida (peruana!)",14,41.729337,-72.720123
"2","The Hartford Investor's Business Daily Meetup Group",1066858789000,"Hartford","CT",173,"Subscribers to IBD and DGO",81234,81234,"career/business",NA,NA,NA,NA,NA
"3","Hartford Area Hiking™",1126887925000,"Hartford","CT",9860,"Hiking Enthusiasts",209210,209210,"outdoors/adventure","245516640","Hike to Mt. Toby & Sunderland Caves, Sunderland MA",14,NA,NA
"4","Hartford Area Hiking™",1126887925000,"Hartford","CT",9860,"Hiking Enthusiasts",209210,209210,"outdoors/adventure","bxtjmmywqbkb","First Thursday: Brooksvale Park in Hamden CT to Mt. Sanford",20,NA,NA
"5","Hartford Area Hiking™",1126887925000,"Hartford","CT",9860,"Hiking Enthusiasts",209210,209210,"outdoors/adventure","245034776","HOLIDAY Game Night in Manchester CT - Dec.",47,NA,NA
"6","Hartford Area Hiking™",1126887925000,"Hartford","CT",9860,"Hiking Enthusiasts",209210,209210,"outdoors/adventure","245133521","Walk Wood parcel Wethersfield",27,41.698328,-72.654332
"7","Hartford Area Hiking™",1126887925000,"Hartford","CT",9860,"Hiking Enthusiasts",209210,209210,"outdoors/adventure","245133588","Walk CT Audubon Center Glastonbury",35,41.681902,-72.599859
"8","Hartford Area Hiking™",1126887925000,"Hartford","CT",9860,"Hiking Enthusiasts",209210,209210,"outdoors/adventure","245133613","Walk Town Hall Glastonbury",25,41.707462,-72.60815
"9","Hartford Area Hiking™",1126887925000,"Hartford","CT",9860,"Hiking Enthusiasts",209210,209210,"outdoors/adventure","245133651","Walk Wolf Parcel, Wethersfield",20,41.724564,-72.664838
"10","Hartford Area Hiking™",1126887925000,"Hartford","CT",9860,"Hiking Enthusiasts",209210,209210,"outdoors/adventure","245564985","Walk at the farm",26,41.739666,-72.555435
"11","Hartford Area Hiking™",1126887925000,"Hartford","CT",9860,"Hiking Enthusiasts",209210,209210,"outdoors/adventure","245133685","Walk Goff Brook Lane, Rocky Hill",21,41.682996,-72.645128
"12","Hartford Area Hiking™",1126887925000,"Hartford","CT",9860,"Hiking Enthusiasts",209210,209210,"outdoors/adventure","245133712","Walk Crow Point, Wethersfield",19,41.71361,-72.646161
